username;post_url;comment;translated_comment;neg;neu;pos;compound;sentiment
uajy;https://www.instagram.com/p/DKW4HE6v4vg/;"pmb.uajy
 2w
Selamat Hari Lahir Pancasila🇮🇩

Pancasila bukan hanya dasar negara, tapi juga panduan hidup sebagai warga negara yang beradab, toleran, dan bersatu. Selamat Hari Lahir Pancasila! 

Saatnya kita kembali mengingat bahwa perbedaan adalah kekuatan, dan Pancasila adalah jembatan persatuan. 🤝

#uajy #pmbuajy #diesnatalis60uajy #haripancasila";"PMB.UAJY
 2W
Happy Birthday of Pancasila🇮🇩

Pancasila is not only the basis of the state, but also a life guide as a civilized, tolerant and united citizen. Happy Birthday of Pancasila! 

It is time for us to remember that differences are strength, and Pancasila is a bridge of unity. 🤝

#UAJY #PMBUAJY #DIESNATIS60UAJY #Haripancasila";0.0;0.728;0.272;0.9604;Positive
uajy;https://www.instagram.com/p/DKMHgA3TQbW/;"pmb.uajy
 Edited
•
3w
[PMB UAJY]

Haloo Sobat Atma Jogjaa!! 
Selamat ya bagi sobat-sobat yang lolos SNBP 2025!🫶🏻
Bagi yang belum lolos, jangan berkecil hati dengan hasil tersebut. Keep Fighting 🙌🏻👍🏻

MinKePo ada saran nih 🙀, selagi ada peluang, para sobat bisa lirik dan kepoin Program Mahasiswa Baru (PMB) UAJY 😻

Lamannya mana nih min? Pastinya di 𝒑𝒎𝒃.𝒖𝒂𝒋𝒚.𝒂𝒄.𝒊𝒅 💛💙

#PMBUAJY #UAJY #SNBT #snbt2025  #diesnatalis60uajy";"PMB.UAJY
 Edited
•
3W
[PMB UAJY]

Hello friend Atma Jogjaa !! 
Congratulations for my friends who passed SNBP 2025! 🫶🏻
For those who have not passed, do not be discouraged by these results. Keep fighting 🙌🏻👍🏻

Minkepo has a suggestion 🙀, while there are opportunities, you can be the lyrics and kepoin of the UAJY New Student Program (PMB) 😻

Where's the page, Min? Certainly at 𝒑𝒎𝒃.𝒖𝒂𝒋𝒚.𝒂𝒄.𝒊𝒅 💛💙

#Pmbuajy #uajy #snbt #SNBT2025 #DIESNATIS60UAJY";0.039;0.707;0.253;0.9779;Positive
uajy;https://www.instagram.com/p/DK8SVkuzrOD/;"pmb.uajy
 3d
[CBT On Campus]

Bagi sobat Atma Jogja, terutama yang mau lintas jurusan nih! Langsung GAS! Daftar di program CBT On Campus! 

Karena dalam 3 hari, program CBT On Campus akan ditutup lho! Jangan sampai ketinggalan!

Segera daftarkan dirimu di 𝓹𝓶𝓫.𝓾𝓪𝓳𝔂.𝓪𝓬.𝓲𝓭
#uajy #atmajogja #pmbuajy2025 #diesnatalis60uajy";"PMB.UAJY
 3D
[Cbt on campus]

For friends Atma Jogja, especially those who want to cross majors! Gas right away! Register in the CBT on Campus program! 

Because within 3 days, the CBT on Campus program will be closed you know! Do not miss!

Immediately register yourself at 𝓹𝓶𝓫.𝓾𝓪𝓳𝔂.𝓪𝓬.𝓲𝓭
#uajy #atmajogja #pmbuajy2025 #diesnatalis60uajy";0.0;0.871;0.129;0.7411;Positive
uajy;https://www.instagram.com/p/DK8SVkuzrOD/;lala_laundry_antar_jemput;lala_laundry_antar_jemput;0.0;1.0;0.0;0.0;Neutral
uajy;https://www.instagram.com/p/DK8SVkuzrOD/;👏👏;;0.0;1.0;0.0;0.0;Neutral
uajy;https://www.instagram.com/p/DE9fH3_T3iP/;"uajy
 21w
🎉 Hello, Mahasiswa UAJY! 🎨

Buat kamu yang jago ngulik desain, ini dia kesempatan emas buat unjuk kreativitasmu!

Dalam rangka Dies Natalis ke-60 UAJY, kami ngadain Lomba Desain Logo spesial banget untuk seluruh mahasiswa UAJY!

💡 Apa yang dicari?
Desain logo yang keren, fresh, dan pastinya menggambarkan semangat 60 tahun perjalanan UAJY yang inspiratif!

🎁 Ada hadiah spesial menanti loh!

So, tunggu apa lagi? Yuk, cek detail lombanya di poster ini dan langsung daftar sekarang juga dengan scan barcode-nya!

📅⏰Deadline pendaftaran *31 Januari 2025* Jangan sampai ketinggalan ya!

Ayo buktikan kreativitasmu dan jadilah bagian dari sejarah Dies Natalis ke-60 UAJY! 💥

#UAJYUnggul #UAJYInklusif #UAJYHumanis #UAJYBerintegritas #UAJYDiesNatalis #DiesNatalis60UAJY #UAJY60th #DiesNatalis #LombaLogoUAJY #MahasiswaKreatif #UAJYTerusBergerak #UAJY #AtmaJogja";"UAJY
 21W
🎉 Hello, UAJY student! 🎨

For those of you who are good at kidnaping the design, here is a golden opportunity for your creativity showing!

In the framework of the 60th Anniversary of UAJY, we have a very special logo design competition for all UAJY students!

💡 What are you looking for?
The logo design is cool, fresh, and certainly describes the spirit of 60 years of inspiring UAJY trip!

🎁 There is a special gift waiting!

So, what are you waiting for? Come on, check the details of the race on this poster and immediately register now with the barcode scan!

📅⏰Dline Registration * January 31, 2025 * Don't miss it!

Let's prove your creativity and be part of the 60th Anniversary History of UAJY! 💥

#UAJYUNGGUL #UAJYINCLUSIVE #UAJYHUMANIS #UAJYBYBINTEGRIITAS #UAJYDIESNATALIS #DIESNATALIS60UAJY #UAJY60Th #Diesnatalis #Lombalogoujy #Mahasiswakreatif #uajyterus moves #uajogja";0.028;0.747;0.225;0.9844;Positive
uajy;https://www.instagram.com/p/DFfgcICybHm/;"sandro27go
 19w
serviens in lumine veritatis.
#diesnatalis60uajy";"sandro27go
 19W
serving in the light of truth.
# Diesnatalis60uaJy";0.0;0.796;0.204;0.3182;Positive
uajy;https://www.instagram.com/p/DKZyG_LTunF/;"uajy
 2w
Kantor Pelatihan Bahasa dan Budaya (KPBB) Universitas Atma Jaya Yogyakarta (UAJY) sukses menyelenggarakan UAJY’s Got Talents pada Sabtu (24/5/25). Kegiatan yang digelar di Auditorium Gedung St. Thomas Aquinas, Kampus II UAJY ini merupakan bagian dari rangkaian perayaan Dies Natalis ke-60 UAJY.
 
Ajang ini terbuka untuk umum dan menampilkan berbagai jenis bakat seperti tari, musik, vokal, seni lukis, hingga pembacaan puisi. Sekitar 30 peserta, baik secara individu maupun berkelompok, turut ambil bagian. Setiap peserta diberi waktu maksimal tiga menit untuk menunjukkan penampilan terbaik mereka.

#UAJYInklusif #UAJYGotTalent #KPBBUAJY #DiesNatalis60UAJY #UAJYTerusBergerak #UAJY #AtmaJogja";"UAJY
 2W
Language and Cultural Training Office (KPBB) at Atma Jaya Yogyakarta University (UAJY) successfully held UAJY’s GOT Talents on Saturday (5/24/25). The activity that was held at the Auditorium of the St. Building Thomas Aquinas, Campus II UAJY is part of the 60th UAJY Anniversary Celebration.
 
This event is open to the public and displays various types of talents such as dance, music, vocals, painting, to poetry reading. Around 30 participants, both individually and in groups, took part. Each participant was given a maximum of three minutes to show their best performance.

#UAJYINCLUSIVE #UAJYGOTTALENT #KPBBUAJY #DIESNATIS60UAJY #UAJYTERUS BENDAH #UAJY #Atmajogja";0.0;0.879;0.121;0.9246;Positive
uajy;https://www.instagram.com/p/DKZyG_LTunF/;tugaskelar.idn;Duties of Social Affairs.idn;0.0;1.0;0.0;0.0;Neutral
uajy;https://www.instagram.com/p/DKZyG_LTunF/;😍ahhh keren bngttt;😍Ahhh cool really;0.0;0.43;0.57;0.6486;Positive
uajy;https://www.instagram.com/p/DKZyG_LTunF/;liondancehoohaphwee;liondancehoohaphwee;0.0;1.0;0.0;0.0;Neutral
uajy;https://www.instagram.com/p/DKZyG_LTunF/;❤️🔥;;0.0;1.0;0.0;0.0;Neutral
uajy;https://www.instagram.com/p/DK8S-jITg8S/;"pmb.uajy
 3d
[Beasiswa Program Internasional]

Bagi sobat Atma Jogja yang ingin mendapatkan pengalaman internasional seperti pertukaran pelajar ke luar negeri, kalian bisa daftar si Program Internasionalnya Atma Jogja!

Apalagi sekarang ada Beasiswa Program Internasional
Kalian bisa mendapatkan
✅ Potongan sebesar 50% di biaya SPU
✅ Potongan sebesar 50% di SPP tetap selama 4 tahun
Langsung aja daftarkan dirimu di 𝓹𝓶𝓫.𝓾𝓪𝓳𝔂.𝓪𝓬.𝓲𝓭

#uajy #atmajogja #pmbuajy2025 #diesnatalis60uajy";"PMB.UAJY
 3D
[Scholarship Program International]

For friends atma jogja who want to get international experience such as student exchange abroad, you can list the international program atma jogja!

Especially now there is an international program scholarship
You can get
✅ discounted 50% in SPU fees
✅ discount of 50% on a fixed SPP for 4 years
Just register yourself at 𝓹𝓶𝓫.𝓾𝓪𝓳𝔂.𝓪𝓬.𝓲𝓭

#uajy #atmajogja #pmbuajy2025 #diesnatalis60uajy";0.0;0.92;0.08;0.5983;Positive
uajy;https://www.instagram.com/p/DE-rHwJzLqP/;"mt_correia
 21w
#DiesNatalis60UAJY";"mt_correia
 21w
#DiesNatalis60UAJY";0.0;1.0;0.0;0.0;Neutral
uajy;https://www.instagram.com/p/DKvcWbwP3kb/;"pmb.uajy
 1w
Sciencetech Scholarship: A Great Chance to be Future Biologist!🔬

Tersedia beasiswa potongan SPU 5 juta untuk calon mahasiswa baru Prodi Biologi Fakultas Teknobiologi UAJY (berlaku untuk siswa SMA lulusan 2024/2025 ataupun gap year)🥳

Apa aja sih syaratnya?
📝 Wajib membuat essay
✅ Upload berkas dan bukti prestasi

💌Submit berkasmu sebelum 30 Juni 2025: uajy.info/SciencetechScholarshipFTb

Tunggu apa lagi? Raih masa depan cemerlang bersama FTB UAJY✨

#PMBUAJY #Beasiswa #SciencetechScholarship #Mahasiswa #Biologi #BiologiUAJY #TeknologiPangan #TeknologiPanganUAJY #TekPang #TekPangUAJY #FTb #FTbUAJY #UAJY #FTbMenyala #AtmaJogja #Yogyakarta #diesnatalis60uajy";"PMB.UAJY
 1W
ScienceTech Scholarship: A Great Chance to Be Future Biologist! 🔬

SPU 5 million discount scholarships are available for prospective new students of the UAJY Faculty of Teknobiology Biology Study Program (valid for high school students graduated from 2024/2025 or GAP Year) 🥳

What are the conditions?
📝 Must make an essay
✅ Upload files and proof of achievement

💌Submit your files before 30 June 2025: uajy.info/sciencetechscholarshipftb

What are you waiting for? Achieve a brilliant future with FTB UAJY✨

#Pmbuajy #beaniswa #sciencetechscholarship #manahasiswa #biology #biologyuajy #teknologiangan #teknologianguajy #tekpang #tekpanguajy #ftbb";0.0;0.822;0.178;0.962;Positive
uajy;https://www.instagram.com/p/DKvcWbwP3kb/;teknobiouajy;teknobiouajy;0.0;1.0;0.0;0.0;Neutral
uajy;https://www.instagram.com/p/DKvcWbwP3kb/;Jadilah bagian dari #BiologiUAJY 🙌;Be part of #biologyuajy 🙌;0.0;1.0;0.0;0.0;Neutral
uajy;https://www.instagram.com/p/DLFFq7uvtek/;"pmb.uajy
 5h
[H-3 Penutupan Program]

Sobat Atma Jogja jangan sampai ketinggalan! dalam 3 hari program-program ini akan ditutup lho!

Segera daftarkan di 𝓹𝓶𝓫.𝓾𝓪𝓳𝔂.𝓪𝓬.𝓲𝓭

#uajy #pmbuajy #atmajogja #diesnatalis60uajy";"PMB.UAJY
 5H
[H-3 Closing Program]

Friend atma jogja don't miss! Within 3 days these programs will be closed you know!

Register immediately on 𝓹𝓶𝓫.𝓾𝓪𝓳𝔂.𝓪𝓬.𝓲𝓭

#uajy #pmbuajy #atmajogja #diesnatalis60uajy";0.0;0.833;0.167;0.6402;Positive
uajy;https://www.instagram.com/p/DKiTN8gzBR0/;"pmb.uajy
 Edited
•
1w
·.·★ 𝔼𝕚𝕕 𝕒𝕝-𝔸𝕕𝕙𝕒 𝕄𝕦𝕓𝕒𝕣𝕒𝕜 ★·.·

Semoga Allah SWT melimpahkan berkah-Nya yang luar biasa dan dengan murah hati membalas pengorbanan kita yang mulia🌟

#PMBUAJY #UAJY #ATMAJOGJA #diesnatalis60uajy";"PMB.UAJY
 Edited
•
1W
·. · ★ 𝔼𝕚𝕕 𝕒𝕝-𝔸𝕕𝕙𝕒 ★ ★ ·.

May Allah SWT bestow His extraordinary blessings and generously reply to our noble sacrifice

#Pmbuajy #uajy #atmajogja #diesnatalis60uajy";0.0;0.744;0.256;0.8519;Positive
uajy;https://www.instagram.com/p/DKeEWSez9yF/;"pmb.uajy
 Edited
•
2w
[Beasiswa Magister Unggul]

Hai sobat Atma Jogja! 🙌
Mau lanjut S2 dengan beasiswa? Yuk, daftar sekarang di Universitas Atma Jaya Yogyakarta! 🤩

✅ Bebas biaya pendaftaran
✅ Bebas SPP Tetap (semester 1)

Pendaftaran hanya sampai 29 Juli 2025, lohh!! 🤩

Jadi jangan sampai ketinggalan! Masa depan cerah menanti kamu di sini! 🌟

📍 Info lebih lanjut: 𝒑𝒎𝒃.𝒖𝒂𝒋𝒚.𝒂𝒄.𝒊𝒅

#BeasiswaS2 #AtmaJogja #PMB #AtmaJogja #diesnatalis60uajy";"PMB.UAJY
 Edited
•
2W
[Scholarship Master Superior]

Hi friend Atma Jogja! 🙌
Want to continue S2 with a scholarship? Come on, register now at Atma Jaya University Yogyakarta! 🤩

✅ Registration fee free
✅ Free SPP Fixed (Semester 1)

Registration only until July 29, 2025, you know !! 🤩

So don't miss it! A bright future awaits you here! 🌟

📍 Further info: 𝒑𝒎𝒃.𝒖𝒂𝒋𝒚.𝒂𝒄.𝒊𝒅

#Buddiswas2 #atmajogja #pmb #atmajogja #diesnatalis60uajy";0.0;0.763;0.237;0.9622;Positive
uajy;https://www.instagram.com/p/DKeEWSez9yF/;lala_laundry_antar_jemput;lala_laundry_antar_jemput;0.0;1.0;0.0;0.0;Neutral
uajy;https://www.instagram.com/p/DKeEWSez9yF/;😍😍;;0.0;1.0;0.0;0.0;Neutral
lppmuajy;https://www.instagram.com/p/DLEWywyTGjW/;"lppmuajy
 12h
✨ Dalam rangka menyambut Dies Natalis ke-60 Universitas Atma Jaya Yogyakarta, Lembaga Penelitian dan Pengabdian pada Masyarakat (LPPM) turut ambil bagian melalui kegiatan pengabdian masyarakat.

🏡 LPPM bersama Bapak Ir. Y. Dwikora Krismiyanto, MT (dosen Fakultas Teknik) dan mahasiswa hadir di Padukuhan Kapuhan, Desa Majaksingi, Kecamatan Borobudur, Kabupaten Magelang, dengan memberikan penyuluhan bertema “Penataan Rumah yang Asri”.

🌿 Kegiatan ini merupakan wujud nyata komitmen UAJY dalam menyebarkan pengetahuan dan inspirasi demi menciptakan lingkungan hunian yang nyaman, sehat, dan harmonis.

#DiesNatalis60UAJY #UAJYMengabdi  #LPPMUAJY #PengabdianMasyarakat #RumahAsri #Borobudur #UAJY60Tahun";"LPPMUAJY
 12H
✨ In order to welcome the 60th Anniversary of Atma Jaya University in Yogyakarta, the Research and Community Service Institute (LPPM) took part through community service activities.

🏡 LPPM with Mr. Ir. Y. Dwikora Krismiyanto, MT (Faculty of Engineering) and Students were present at Padukuhan Kapuhan, Majaksingi Village, Borobudur District, Magelang Regency, by providing counseling with the theme ""Beautiful House Arrangement"".

🌿 This activity is a tangible manifestation of UAJY's commitment in spreading knowledge and inspiration in order to create a comfortable, healthy and harmonious residential environment.

#Diesnatalis60uajy #uajymengabdi #lppuajy #pengabdianmashakat #rumahasri #borobudur #uajy60tahun";0.0;0.772;0.228;0.9758;Positive


Sentiment Statistics Summary
sentiment;jumlah_komentar;rata_rata_compound
Positive;13;0.8112
Neutral;10;0.0
Negative;0;0.0
